Treatment;ClutchN;Age;Stage;comst;groupst;DecimaClocklHours;AccumshakingtimeRup1Fra;AccumShakingR1sec;NumPosChanADBefore2ndHole;AccumADshakingR;AccumshakingtimeRup2Fra;AccumShakingR2sec;DisEndRup2Fr;DisEndHatchingStartFr;CompDurFr;CompressionSec;CompressionSeen;EXITDURATIONFr;EXIT DURATION StarttoFullyOutsec;NumHoles;FirstSecondHoleExit;Rescue;;
Flooding;471;3;3;2-3;2-3;21,97;0;0,00;0;;0;0,00;;989;286;9,53;1;858;28,6;2;Second;0;;
Flooding;391;3;4;4-5;4-7;22,73;0;0,00;0;;525;17,50;549;525;360;12,00;1;446;14,86666667;2;Second;0;;
Flooding;426;3;4;4-5;4-7;22,73;0;0,00;0;;7;0,23;1375;1378;;;0;139;4,633333333;2;Second;0;;
Flooding;466;3;3;2-3;2-3;23,12;0;0,00;0;;0;0,00;10656;11120;;;0;919;30,63333333;2;Second;0;;
Flooding;407;3;4;4-5;4-7;23,25;0;0,00;1;;2466;82,20;3182;3182;;;0;2891;96,36666667;2;Second;0;;
Flooding;393;3;4;4-5;4-7;23,28;0;0,00;1;;121;4,03;6411;6411;;;0;6;0,2;2;Second;0;;
Flooding;409;4;5;4-5;4-7;0,15;0;0,00;9;;877;29,23;6635;6635;;;0;1605;53,5;2;Second;0;;
Flooding;411;4;5;4-5;4-7;0,33;199;6,63;0;;435;14,50;1422;1422;;;0;169;5,633333333;2;Second;0;;
Flooding;387;4;3;2-3;2-3;0,48;0;0,00;0;;260;8,67;1405;1405;1;0,03;1;9;0,3;2;Second;0;;
Flooding;403;4;3;2-3;2-3;0,48;91;3,03;0;;624;20,80;5844;5844;;;0;3;0,1;2;Second;0;;
Flooding;414;4;4;4-5;4-7;0,63;840;28,00;1;;577;19,23;1167;1167;128;4,27;1;634;21,13333333;2;Second;0;;
Flooding;417;4;4;4-5;4-7;0,82;292;9,73;1;;137;4,57;595;595;;;0;249;8,3;2;Second;0;;
Flooding;429;4;3;2-3;2-3;0,82;0;0,00;0;;49;1,63;2822;2822;842;28,07;1;847;28,23333333;2;Second;0;;
Flooding;385;4;4;4-5;4-7;0,95;0;0,00;15;;;;8175;8175;;;0;10;0,333333333;2;Second;0;;
Flooding;418;4;4;4-5;4-7;1,12;617;20,57;0;;549;18,30;1901;1901;;;0;4;0,133333333;2;Second;0;;
Flooding;430;4;4;4-5;4-7;1,17;331;11,03;0;;0;0,00;10988;10988;;;0;2;0,066666667;2;Second;0;;
Flooding;406;4;4;4-5;4-7;1,32;360;12,00;0;;0;0,00;1872;1872;;;0;479;15,96666667;2;Second;0;;
Flooding;404;4;4;4-5;4-7;1,87;954;31,80;0;;834;27,80;800;800;22;0,73;1;112;3,733333333;2;Second;0;;
Flooding;431;4;3;2-3;2-3;2,18;865;28,83;0;;1019;33,97;10854;10854;;;0;6;0,2;2;Second;0;;
Flooding;419;4;4;4-5;4-7;2,30;376;12,53;1;;983;32,77;1385;1385;;;0;773;25,76666667;2;Second;0;;
Flooding;420;4;5;4-5;4-7;2,65;4;0,13;0;;105;3,50;582;1134;;;0;347;11,56666667;2;Second;0;;
Flooding;432;4;4;4-5;4-7;2,98;179;5,97;4;;1353;45,10;2032;2032;;;0;12;0,4;2;Second;0;;
Flooding;423;4;5;4-5;4-7;4,00;3;0,10;2;;0;0,00;2771;2771;;;0;3;0,1;2;Second;0;;
Flooding;104;4;5;4-5;4-7;9,40;185;6,17;1;;452;15,07;3138;3138;;;0;7;0,233333333;2;Second;0;;
Flooding;98;4;5;4-5;4-7;9,83;303;10,10;0;;0;0,00;1056;1056;47;1,57;1;168;5,6;2;Second;0;;
